EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates
Diversity Output from Input File:  TreeBT  (May 22, 2023)
Reference Sample = 25

Samples	Individuals (computed)	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	Uniques Mean	Uniques SD (runs)	Duplicates Mean	Duplicates SD (runs)	ACE Mean	ACE  SD (runs)	ICE Mean	ICE SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Chao 2 Mean	Chao 2 95% CI Lower Bound	Chao 2 95% CI Upper Bound	Chao 2 SD (analytical)	Jack 1 Mean	Jack 1 SD (analytical)	Jack 2 Mean	Jack 2 SD (runs)	Bootstrap Mean	Bootstrap  SD (runs)	MMRuns Mean	MMMeans (1 run)	Cole Rarefaction	Cole SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)	
1	28.88	14.44	10.89	18	1.81	14.22	8.76	3.52	2.56	1.42	14.22	4.51	0	0	31.29	13.31	14.22	4.51	25.46	16.91	62.84	9.65	14.22	22.5	22.5	0	14.22	0	0	0	14.22	4.51	0	0	17.91	3.03	0	0	0	0	0	0	0	0	
2	57.76	23.56	18.64	28.48	2.51	24.12	12.89	3.78	4.53	2.25	18.68	4.76	5.44	2.24	44.03	14.49	121.63	84.91	41.4	29.01	86.23	12.54	40.31	29.19	76.37	10.58	33.46	2.48	33.46	7.29	28.79	6.17	83.35	63.91	27.39	3.26	0	0	0	0	0	0	0	0	
3	86.64	30.13	24.55	35.71	2.85	31.29	15.13	4.47	6.09	2.61	20.8	5.22	7.57	2.48	53.26	15.12	78.97	28.32	50.04	37.04	93.45	12.57	49.63	37.54	85.72	10.98	45.16	4.13	50.83	10.66	37.73	7.26	94.4	65.69	33.85	3.3	0	0	0	0	0	0	0	0	
4	115.52	35.25	29.3	41.2	3.04	36	16	3.99	6.64	2.56	21.26	4.52	8.42	2.45	57.28	13.14	72.26	18.15	55.03	41.87	98.28	12.61	55.31	42.67	92.32	11.36	51.95	5.08	59.77	10.51	43.27	6.76	123.12	67.32	38.7	3.28	0	0	0	0	0	0	0	0	
5	144.4	39.44	33.27	45.61	3.15	40.4	16.96	4.04	6.97	2.68	21.99	4.58	9.1	2.68	61.74	12.98	73.34	17.02	61.82	47.15	108.9	13.87	61.33	47.77	100.27	12.05	57.99	5.6	67.09	11.29	48.37	6.9	150.07	68.81	42.58	3.25	0	0	0	0	0	0	0	0	
6	173.28	42.98	36.68	49.28	3.21	43.5	16.92	3.99	7.21	2.66	21.6	4.61	9.8	2.79	62.94	12.48	72.4	15.76	62.92	49.66	105.38	12.53	62.93	50.37	98.89	11.14	61.5	5.71	70.67	11.6	51.68	6.91	101.49	70.15	45.8	3.2	0	0	0	0	0	0	0	0	
7	202.16	46.04	39.66	52.43	3.26	46.6	17.33	3.77	7.4	2.49	21.72	4.29	10.12	2.74	65.19	11.05	73.74	13.45	66.09	52.85	107.89	12.41	65.85	53.43	101.23	10.99	65.22	5.9	74.71	11.12	55.07	6.56	114.59	71.39	48.56	3.15	0	0	0	0	0	0	0	0	
8	231.04	48.74	42.3	55.18	3.28	49.22	18.06	3.94	7.39	2.49	22.14	4.44	9.88	2.96	68.24	11.75	76.54	13.7	70.35	56.11	114.56	13.22	70.66	56.86	109.8	12.18	68.59	6.18	78.85	11.79	57.99	6.71	94.34	72.53	50.97	3.08	0	0	0	0	0	0	0	0	
9	259.92	51.14	44.67	57.61	3.3	51.5	18.11	3.89	7.71	2.69	21.9	4.55	10.23	2.97	69.6	10.87	77.78	13.63	72.33	58.3	115.82	13.01	72.49	58.98	110.8	11.92	70.97	6.22	81.04	12.33	60.36	6.7	86.38	73.57	53.11	3.02	0	0	0	0	0	0	0	0	
10	288.8	53.31	46.82	59.79	3.31	53.66	18.19	3.9	7.85	2.58	21.81	4.25	10.31	2.81	71.45	10.63	79.18	12.55	74.44	60.46	117.65	12.94	74.31	60.98	112.24	11.79	73.29	6.16	83.41	11.76	62.6	6.52	83.53	74.54	55.04	2.95	0	0	0	0	0	0	0	0	
11	317.68	55.29	48.8	61.79	3.31	55.65	18.53	4.07	7.88	2.73	22.08	4.54	10.13	3.1	73.86	10.79	81.29	12.69	76.81	62.65	120.14	13.04	78.42	63.76	120.02	12.95	75.72	6.24	86.33	12.47	64.76	6.3	82.58	75.46	56.79	2.87	0	0	0	0	0	0	0	0	
12	346.56	57.15	50.66	63.64	3.31	57.45	18.44	3.93	8.38	2.86	21.86	4.41	10.65	2.82	75.42	10.65	81.95	12.12	76.92	63.92	116.58	11.95	77.62	64.69	114	11.36	77.49	6.2	87.64	12.15	66.6	6.01	82.08	76.34	58.39	2.79	0	0	0	0	0	0	0	0	
13	375.44	58.71	52.21	65.2	3.31	59.19	18.47	3.75	8.62	2.79	21.75	4.03	10.92	2.81	76.93	9.63	82.78	10.55	78.28	65.53	117.09	11.71	78.6	66.13	113.81	10.98	79.27	6.21	89.2	11.18	68.4	5.54	81.93	77.11	59.87	2.7	0	0	0	0	0	0	0	0	
14	404.32	60.23	53.74	66.73	3.32	60.53	18.57	3.76	8.68	2.91	21.68	4.08	11	3.13	78.38	9.46	83.73	10.3	80.21	67.07	120.11	12.05	80.58	67.67	117.11	11.38	80.66	6.2	90.54	11.52	69.78	5.39	81.96	77.83	61.24	2.61	0	0	0	0	0	0	0	0	
15	433.2	61.65	55.15	68.16	3.32	62.03	18.68	3.48	8.74	2.63	21.64	3.77	11.07	3	79.84	8.94	84.64	9.56	81.28	68.43	120.27	11.78	81.78	69.03	118	11.26	82.23	6.19	92.07	10.89	71.32	5.32	82.16	78.52	62.53	2.5	0	0	0	0	0	0	0	0	
16	462.08	62.98	56.47	69.49	3.32	63.36	18.8	3.29	8.97	2.58	21.65	3.64	11.11	3	81.41	8.52	85.62	9.1	82.07	69.6	119.79	11.41	82.89	70.29	118.63	11.12	83.66	6.24	93.53	10.24	72.7	5.03	82.44	79.17	63.73	2.39	0	0	0	0	0	0	0	0	
17	490.96	64.23	57.7	70.75	3.33	64.4	18.61	3.19	9.28	2.65	21.35	3.64	11.27	3.1	82.06	8.14	85.79	8.92	82.42	70.38	119.02	11.05	83.61	71.18	119.13	11.02	84.49	6.24	94.01	10.46	73.69	4.98	82.69	79.78	64.86	2.27	0	0	0	0	0	0	0	0	
